         113   2.500000118743628E-004
  -3.485156789534269E-001  -1.217092143699023E-001   5.389623614171114E-001
  -3.801465510800509E-001  -1.365610754758328E-001   5.221690955839657E-001
  -4.312902580393188E-001  -1.616415424599386E-001   4.975545496040699E-001
  -4.527091943808846E-001  -1.725052952526048E-001   4.881210015638555E-001
  -4.899051722688959E-001  -1.918332621206097E-001   4.728558099830610E-001
  -5.215956092656754E-001  -2.087309340448536E-001   4.608711802687073E-001
  -5.493046790088932E-001  -2.238066872495931E-001   4.510854828508597E-001
  -5.963021804758841E-001  -2.499695628322345E-001   4.358012444660619E-001
  -6.166908613174094E-001  -2.615361649109476E-001   4.296322433914773E-001
  -6.529576809981252E-001  -2.824116983512979E-001   4.192741286527107E-001
  -6.692840940063352E-001  -2.919291864889576E-001   4.148485880318544E-001
  -6.991085281044076E-001  -3.094974377006943E-001   4.071127898997446E-001
  -7.258859803307302E-001  -3.254623899494770E-001   4.005233433029856E-001
  -7.502458974972936E-001  -3.401358222569281E-001   3.947984451978169E-001
  -7.933969346117806E-001  -3.664598123257762E-001   3.852327302741329E-001
  -8.127757263710639E-001  -3.784129581328874E-001   3.811572493169260E-001
  -8.481471665228015E-001  -4.004293700022962E-001   3.740404043876190E-001
  -8.644255750600670E-001  -4.106446939049952E-001   3.708963773853571E-001
  -8.946978986007016E-001  -4.297751738977796E-001   3.652544505899403E-001
  -9.224397455257284E-001  -4.474533236379889E-001   3.603039969940169E-001
  -9.481180405691055E-001  -4.639365602730175E-001   3.558967167627279E-001
  -9.720800483883330E-001  -4.794184010114018E-001   3.519265958442191E-001
  -9.945912764193640E-001  -4.940481853017608E-001   3.483153766677888E-001
       -1.036050079152862  -5.211995072651715E-001   3.419457149635593E-001
       -1.055297514835060  -5.338928171796506E-001   3.391049878537667E-001
       -1.091385667807077  -5.578367660681536E-001   3.339642365608917E-001
       -1.108395543250780  -5.691859515419183E-001   3.316209003257967E-001
       -1.140677451650008  -5.908326065013713E-001   3.273060362986259E-001
       -1.156054339455659  -6.011919464520992E-001   3.253090959889959E-001
       -1.185492288759931  -6.211085798152620E-001   3.215859203450352E-001
       -1.213400801907163  -6.400900052540263E-001   3.181716990885039E-001
       -1.239998446914567  -6.582671948211251E-001   3.150170255807390E-001
       -1.265459372322956  -6.757450159344066E-001   3.120834330577310E-001
       -1.289924602251877  -6.926087553659546E-001   3.093404105941103E-001
       -1.313509949244347  -7.089287187973368E-001   3.067633660248690E-001
       -1.336311693943393  -7.247635512473739E-001   3.043321980320141E-001
       -1.358410748871525  -7.401626839693860E-001   3.020302719475130E-001
       -1.400765507607828  -7.698160868137139E-001   2.977606335847479E-001
       -1.421130644603808  -7.841376137848782E-001   2.957711389163467E-001
       -1.460457641055205  -8.119066629059312E-001   2.920394848786475E-001
       -1.479491813852866  -8.253988691075251E-001   2.902833779255925E-001
       -1.516451658014372  -8.516916165207189E-001   2.869620163735658E-001
       -1.534427629154056  -8.645233592150505E-001   2.853872988631670E-001
       -1.569478330417778  -8.896238427267559E-001   2.823899326757916E-001
       -1.586589491787385  -9.019152444705404E-001   2.809605670316684E-001
       -1.620062011766553  -9.260292946717847E-001   2.782261076265935E-001
       -1.636450636459567  -9.378689362965685E-001   2.769160700494358E-001
       -1.668592253982315  -9.611506489991024E-001   2.743996440929899E-001
       -1.684366215421406  -9.726058064509474E-001   2.731895073414893E-001
       -1.715366851576560  -9.951737014713284E-001   2.708571425631258E-001
       -1.730610025059832       -1.006296745750145   2.697320014349340E-001
       -1.760618966134022       -1.028244077013327   2.675573257886152E-001
       -1.775397971233032       -1.039076638958578   2.665054796088526E-001
       -1.804534899676887       -1.060478219264059   2.644675844101775E-001
       -1.818903623941514       -1.071053992561389   2.634796680627811E-001
       -1.847266130468827       -1.091970854182817   2.615616754822185E-001
       -1.861268855202556       -1.102317536935080   2.606300675394713E-001
       -1.888937696837863       -1.122800200896897   2.588181411114406E-001
       -1.916182386448279       -1.143017359349715   2.570704166289539E-001
       -1.943029795681046       -1.162985828568703   2.553823566024258E-001
       -1.969504081606743       -1.182720727258549   2.537499040879093E-001
       -1.995627053819226       -1.202235705793810   2.521694157901415E-001
       -2.021418480536097       -1.221543137456232   2.506376065443129E-001
       -2.046896345540059       -1.240654279021252   2.491515029177325E-001
       -2.072077065202984       -1.259579406439116   2.477084041799555E-001
       -2.096975672866744       -1.278327930137406   2.463058492711414E-001
       -2.121605976350904       -1.296908493539062   2.449415886876622E-001
       -2.145980693198381       -1.315329057670279   2.436135604253843E-001
       -2.170111567369571       -1.333596974172831   2.423198692921125E-001
       -2.194009470390412       -1.351719048596633   2.410587690337947E-001
       -2.217684489403988       -1.369701595502205   2.398286468235701E-001
       -2.241146004133980       -1.387550486627610   2.386280097452735E-001
       -2.264402754415722       -1.405271193154615   2.374554729686700E-001
       -2.287462899667230       -1.422868822931936   2.363097493662955E-001
       -2.310334071443429       -1.440348153370400   2.351896403641187E-001
       -2.333023420030529       -1.457713660608506   2.340940278525791E-001
       -2.355537655885261       -1.474969545451717   2.330218670125370E-001
       -2.377883086598601       -1.492119756510682   2.319721799335575E-001
       -2.400065649960398       -1.509168010899018   2.309440499208313E-001
       -2.422090943615746       -1.526117812797798   2.299366164026345E-001
       -2.443964251732594       -1.542972470149259   2.289490703631725E-001
       -2.465690569040523       -1.559735109704980   2.279806502364979E-001
       -2.487274622550497       -1.576408690622433   2.270306382062470E-001
       -2.508720891223222       -1.592996016777410   2.260983568635440E-001
