         123   2.500000118743628E-004
       -4.822538245204656  -5.075940799807868E-001   8.014778487629292E-001
       -4.922878765490316  -5.276208088560126E-001   7.993561103545127E-001
       -5.013851592140925  -5.459617651157040E-001   7.974344323473884E-001
       -5.097033441181436  -5.628849625766691E-001   7.956777878007596E-001
       -5.244598794830372  -5.932665064153101E-001   7.925592478567540E-001
       -5.310686491576866  -6.070222813164097E-001   7.911603766746176E-001
       -5.430574710150363  -6.322125756641550E-001   7.886168490545182E-001
       -5.485300315865700  -6.438127213767393E-001   7.874525336252466E-001
       -5.586095866120297  -6.653453127821893E-001   7.853012405566668E-001
       -5.677145240067965  -6.849826772289813E-001   7.833488554470609E-001
       -5.760119646521653  -7.030336310777735E-001   7.815606476394341E-001
       -5.906668504528509  -7.352790766546328E-001   7.783772585228873E-001
       -5.972032576620932  -7.498122428052106E-001   7.769454053026743E-001
       -6.090183669972187  -7.763207279817882E-001   7.743353185952554E-001
       -6.143933805346601  -7.884825910534672E-001   7.731375690776175E-001
       -6.242631413853456  -8.109829826721482E-001   7.709193497717463E-001
       -6.331447382980600  -8.314188111374129E-001   7.689001840891497E-001
       -6.412103790029893  -8.501334231662449E-001   7.670455214717228E-001
       -6.485911192183849  -8.673906593420797E-001   7.653291272955333E-001
       -6.553889916730506  -8.833977423886999E-001   7.637306085027653E-001
       -6.675443974809759  -9.122935535832088E-001   7.608256534092425E-001
       -6.730207273904832  -9.254280572060747E-001   7.594955119415228E-001
       -6.829941193054508  -9.495370753422772E-001   7.570353046869910E-001
       -6.875596877905521  -9.606559945740710E-001   7.558915595887997E-001
       -6.959833767144536  -9.813090818869360E-001   7.537498396690067E-001
       -7.036025201900820       -1.000146451080927   7.517747051068846E-001
       -7.105485053025473       -1.017451859222452   7.499397961092904E-001
       -7.228077160216245       -1.048310300529390   7.466128153097139E-001
       -7.282666429126643       -1.062184067099252   7.450913071171407E-001
       -7.381110980158378       -1.087416392318646   7.422778593662595E-001
       -7.425771431298944       -1.098955620296724   7.409694891090532E-001
       -7.507527478899849       -1.120232826659000   7.385174795980242E-001
       -7.580774691911341       -1.139468385218358   7.362525443982895E-001
       -7.707290558599901       -1.173092785382950   7.321684780250862E-001
       -7.762568311234699       -1.187949228019676   7.303071680939993E-001
       -7.860717506896601       -1.214586738471988   7.268705736021773E-001
       -7.904621352707060       -1.226613168112016   7.252731356530950E-001
       -7.984032934376812       -1.248547781477506   7.222777949294468E-001
       -8.054165822548871       -1.268121796187515   7.195064468964859E-001
       -8.116769528847129       -1.285762190459750   7.169202465772738E-001
       -8.173152625164562       -1.301791224841710   7.144897527378429E-001
       -8.271051241781704       -1.329958850249422   7.100091939793255E-001
       -8.313976911639013       -1.342451374822880   7.079264164988268E-001
       -8.390337045846755       -1.364901783005430   7.040155283682056E-001
       -8.456464890747139       -1.384593333339013   7.003858708564592E-001
       -8.514503863210329       -1.402080332819593   6.969848832792050E-001
       -8.612134699002652       -1.431963709599262   6.907226626258864E-001
       -8.653772290460697       -1.444901409551308   6.878087780541216E-001
       -8.726203140319710       -1.467708982795887   6.823226525031971E-001
       -8.787331077112995       -1.487281856790876   6.772061369499072E-001
       -8.839832427158644       -1.504353681834267   6.723844049496638E-001
       -8.925874282461658       -1.532917368164322   6.634249996629142E-001
       -8.961748660616605       -1.545066332339182   6.592175049526346E-001
       -9.023052179480555       -1.566196819122572   6.512276276468070E-001
       -9.116587668621824       -1.599479415125691   6.365357310041699E-001
       -9.153392142037969       -1.612980529371759   6.296789781199492E-001
       -9.213722438459843       -1.635701445080916   6.167072115616862E-001
       -9.261467104794299       -1.654284633201169   6.045321166354990E-001
       -9.300484484600279       -1.669934545418586   5.930016772086497E-001
       -9.361083843918497       -1.695225053360812   5.715070615344476E-001
       -9.442612687687625       -1.731630558922544   5.333839159406703E-001
       -9.472097275495537       -1.745635650558669   5.162947206883783E-001
       -9.518319808170261       -1.768688189881742   4.853817309116563E-001
       -9.553717416727233       -1.787376520876966   4.582155909442746E-001
       -9.582336984370226       -1.803221450202976   4.342322958233257E-001
       -9.594836553067900       -1.810361431738554   4.232895538988743E-001
       -9.600721072441402       -1.813770462966835   4.180582055600627E-001
       -9.603580612729138       -1.815438203427279   4.154999819952966E-001
       -9.604990665081997       -1.816263270270393   4.142349259408616E-001
       -9.605690875808854       -1.816673649258746   4.136058742249991E-001
       -9.606039791189938       -1.816878305804989   4.132922127879019E-001
       -9.606213953097427       -1.816980501540072   4.131355975952552E-001
       -9.606213953097427       -1.816980501540072   4.131355975952552E-001
       -9.606300960318089       -1.817031566359941   4.130573438081694E-001
       -9.606474827595900       -1.817133630027938   4.129009437494257E-001
       -9.606821975185760       -1.817337494166619   4.125885731174216E-001
       -9.607513935921872       -1.817744175138703   4.119655451966581E-001
       -9.608888625604520       -1.818553391207745   4.107263061158522E-001
       -9.611601904342329       -1.820155578415489   4.082748049068740E-001
       -9.616890347678508       -1.823297557006851   4.034774336353701E-001
       -9.626960411622441       -1.829350795090642   3.942876812182515E-001
       -9.645376852032008       -1.840661334839809   3.773979752703381E-001
       -9.677054907223866       -1.860841274385810   3.486782184499899E-001
       -9.703986732972265       -1.878700098674741   3.253195338234606E-001
       -9.727706042961939       -1.894934307683034   3.060534862990631E-001
       -9.749126666517927       -1.909973897582653   2.899473588520139E-001
       -9.787213204492948       -1.937513193343557   2.646241854057950E-001
       -9.804546038620295       -1.950348312567111   2.544994116990530E-001
       -9.836811807056437       -1.974678959089672   2.378075647305456E-001
       -9.852006514601374       -1.986313924329855   2.308307762350734E-001
