         169   3.165432000000000E-004
       -3.944035165014506  -6.285117206276485E-001   6.589842884572441E-001
       -3.996283544947016  -6.464224547348723E-001   6.554294449864236E-001
       -4.086740979099980  -6.778699576177288E-001   6.492847892783649E-001
       -4.163183524128720  -7.048784519924958E-001   6.440917914992381E-001
       -4.229309209361765  -7.285622760576677E-001   6.395913703204860E-001
       -4.287523673563921  -7.496592276292944E-001   6.356176383578402E-001
       -4.339480142229264  -7.686839693509703E-001   6.320580116390999E-001
       -4.386363765278440  -7.860102472646173E-001   6.288325867782965E-001
       -4.468217541607016  -8.166238001461498E-001   6.231636039212411E-001
       -4.537950826060882  -8.430719150202524E-001   6.182878541342592E-001
       -4.598606175756133  -8.663547444379588E-001   6.140053670219523E-001
       -4.652212580850692  -8.871490263188949E-001   6.101836198423157E-001
       -4.700190391869144  -9.059344628925405E-001   6.067302220016129E-001
       -4.743572361153261  -9.230637030777008E-001   6.035781680543880E-001
       -4.819466574994913  -9.533615318686102E-001   5.979890887226098E-001
       -4.884230119490191  -9.795540860889407E-001   5.931356975519607E-001
       -4.940609259975022       -1.002613656220653   5.888400739596225E-001
       -4.990452265296144       -1.023203114571584   5.849822405636389E-001
       -5.035061651348245       -1.041794879163538   5.814774100197999E-001
       -5.075389250969633       -1.058737623669737   5.782634173173852E-001
       -5.112151360582296       -1.074296087713913   5.752933103889636E-001
       -5.177070588357782       -1.102040634856726   5.699470216246189E-001
       -5.233002387709877       -1.126225812368852   5.652279846629016E-001
       -5.282036475548035       -1.147647885768610   5.609968312736892E-001
       -5.325617026741346       -1.166863337476129   5.571564542323454E-001
       -5.364782781194672       -1.184276395011081   5.536364391934094E-001
       -5.400305186209945       -1.200189931401449   5.503840714012296E-001
       -5.432772430387899       -1.214836723947300   5.473588414101331E-001
       -5.490280679002717       -1.241024403947173   5.418688892529858E-001
       -5.539979223700367       -1.263913816598838   5.369792696952004E-001
       -5.583646043290589       -1.284228482473340   5.325634610928739E-001
       -5.622522210249548       -1.302478701351340   5.285318691676121E-001
       -5.657507154571342       -1.319037721840154   5.248186507764623E-001
       -5.689272775088611       -1.334186693889400   5.213739467731502E-001
       -5.745092533652838       -1.361076332536096   5.151433192746817E-001
       -5.769869808747121       -1.373124872972914   5.123019984826296E-001
       -5.814470015569458       -1.394992513591123   5.070650530721037E-001
       -5.853707662930048       -1.414426744181255   5.023232803344829E-001
       -5.888683895065808       -1.431909138150868   4.979871304820289E-001
       -5.920198114577233       -1.447792445815440   4.939900811335177E-001
       -5.948848152568421       -1.462342612827731   4.902812642753646E-001
       -5.999288857540384       -1.488221341675398   4.835769804543904E-001
       -6.021723621635110       -1.499841339818397   4.805238076416712E-001
       -6.062189566013880       -1.520975599831757   4.749076738563622E-001
       -6.080566941719269       -1.530649229248056   4.723118201876981E-001
       -6.114273174012454       -1.548516790212964   4.674798520156255E-001
       -6.144577421900312       -1.564721196228227   4.630608417947513E-001
       -6.172092188826520       -1.579550815588239   4.589913628093608E-001
       -6.220503062488439       -1.605917121438305   4.517127939619639E-001
       -6.242041334209477       -1.617761565623757   4.484320805653184E-001
       -6.280933403890915       -1.639329218962431   4.424543160994204E-001
       -6.298624529549709       -1.649217029093185   4.397165759553194E-001
       -6.331137277010911       -1.667515457691689   4.346635012643179E-001
       -6.360459115528715       -1.684159166352207   4.300914826654306E-001
       -6.387173148774014       -1.699439401674940   4.259226295144052E-001
       -6.434431158138634       -1.726743156838752   4.185645039993850E-001
       -6.455578279043300       -1.739073504876393   4.152882907948073E-001
       -6.493982913201381       -1.761642771997509   4.093809548398369E-001
